PROVIDER_ID,PROVIDER_NAME,NPI,SPECIALTY,STATE,HOSPITAL_ID
PRV000001,Patrick Perez,8656972620,Orthopedics,PA,HSP00303
PRV000002,Evan Trujillo,9944445275,Neurology,NY,HSP00233
PRV000003,Jeffrey Richardson,9040289299,Neurology,IL,HSP00392
PRV000004,Christopher Baker,3155691682,Internal Medicine,AZ,HSP00444
PRV000005,David Washington,1443841898,Neurology,FL,HSP00282
PRV000006,Rachel Turner,4259203262,Psychiatry,CA,HSP00493
PRV000007,Donna Mclaughlin,1632270615,Neurology,AZ,HSP00103
PRV000008,Jenna Thomas,3054398783,Pulmonology,AZ,HSP00406
PRV000009,Brandon Byrd,5716591079,Cardiology,NC,HSP00004
PRV000010,Steven Farmer,5789958535,Psychiatry,NY,HSP00463
PRV000011,Kimberly Woodard,1748975275,Psychiatry,IL,HSP00269
PRV000012,Melissa Roberts,8058673800,Pulmonology,PA,HSP00053
PRV000013,Robert Sanders,6760281638,Pulmonology,PA,HSP00148
PRV000014,James White,4089908410,Oncology,CA,HSP00047
PRV000015,Mary Fry,5522622174,Pediatrics,PA,HSP00308
PRV000016,Zachary Miranda,9576632524,Emergency Medicine,NY,HSP00235
PRV000017,Yvette Adams,9079121862,Pediatrics,NC,HSP00146
PRV000018,Teresa Crawford,3713891716,Orthopedics,NY,HSP00084
PRV000019,Debra Garcia,9694775261,Neurology,NC,HSP00184
PRV000020,Robert Hill,7994011093,Internal Medicine,NC,HSP00352
PRV000021,Donna Turner,8200098385,Oncology,FL,HSP00172
PRV000022,David Johns,4144275183,Pediatrics,OH,HSP00468
PRV000023,Cheryl Medina,9674955698,Orthopedics,OH,HSP00040
PRV000024,Brian Brady,3952820109,Internal Medicine,CA,HSP00479
PRV000025,Heather Owens,5139548245,Oncology,NC,HSP00362
PRV000026,Tom Mitchell,6087431491,Pediatrics,PA,HSP00025
PRV000027,Morgan Kennedy,1542665404,Orthopedics,PA,HSP00169
PRV000028,Amy Lloyd,4215925860,General Surgery,CA,HSP00453
PRV000029,Damon Cooper,9767890038,General Surgery,TX,HSP00425
PRV000030,Kristin Jones,8110363310,Psychiatry,TX,HSP00362
PRV000031,Kathy Bell,4673108409,Pediatrics,AZ,HSP00038
PRV000032,Kimberly Beasley,9770511242,Orthopedics,NY,HSP00011
PRV000033,Brent Wyatt,5247735458,Internal Medicine,GA,HSP00479
PRV000034,David Crawford,9514756730,Orthopedics,NY,HSP00179
PRV000035,Andrew Clay,4593011361,Neurology,FL,HSP00154
PRV000036,Miranda Vazquez,4863629325,Neurology,CA,HSP00500
PRV000037,Bradley Nicholson,6530350064,Cardiology,IL,HSP00350
PRV000038,Jay Page,6210099737,Internal Medicine,IL,HSP00439
PRV000039,Troy Thomas,8623636259,Oncology,CA,HSP00474
PRV000040,Andrea Schneider,4206228584,Pediatrics,OH,HSP00323
PRV000041,Gary Woods,5344669104,Neurology,AZ,HSP00157
PRV000042,Lauren Powell,9443757193,Orthopedics,NY,HSP00027
PRV000043,Dr. Michael Graves,4675863975,Cardiology,TX,HSP00497
PRV000044,Teresa Smith,9930216362,Psychiatry,GA,HSP00056
PRV000045,Cameron Harding,5235196982,Oncology,TX,HSP00069
PRV000046,Mary Pope,6630428441,General Surgery,NY,HSP00242
PRV000047,Sara Lee,2285331741,Pulmonology,NC,HSP00298
PRV000048,Ashley Jordan,8562404611,Orthopedics,NC,HSP00328
PRV000049,Jordan Dyer,2574195367,General Surgery,IL,HSP00163
PRV000050,Caitlin Martinez,8583016215,Orthopedics,FL,HSP00189
PRV000051,Sarah Walton,1940410312,Oncology,CA,HSP00286
PRV000052,Sean Jackson,4585662922,Psychiatry,IL,HSP00098
PRV000053,Crystal Wilson,6616424095,Pediatrics,NY,HSP00365
PRV000054,Kathleen Collins,1423775833,Pulmonology,TX,HSP00010
PRV000055,Amanda Flores,7208626892,Internal Medicine,AZ,HSP00305
PRV000056,Anthony Hansen,8746109333,Internal Medicine,NY,HSP00235
PRV000057,Karen Henson,8838085166,General Surgery,TX,HSP00138
PRV000058,Mark Howe,9116057577,Cardiology,CA,HSP00480
PRV000059,Jason Gray,3350890044,General Surgery,CA,HSP00309
PRV000060,Madison Edwards,7074203322,Emergency Medicine,IL,HSP00257
PRV000061,Jeffery Vasquez,5048907192,Internal Medicine,TX,HSP00479
PRV000062,Stephen Morris,7598393466,Pediatrics,GA,HSP00429
PRV000063,Daniel Garner,8621895643,Internal Medicine,FL,HSP00407
